"","MAT","MAT.wm"
"171058",12.13,12.1490518256522
"171059",17.75,17.9053511012581
"171060",14.185,14.1942811335568
"171061",17.8366666666667,17.5683215358456
"171062",12.735,13.1063821450247
"171063",19.505,19.6427426443288
"171064",18.0166666666667,18.0133793499582
"171065",18.46,18.3191404567393
"171066",14.1933333333333,14.3940516865446
"171067",17.325,17.2215816402341
"171068",16.05,16.4515065108997
"171069",15.105,15.1339708941682
"171070",14.44,14.9346510448751
"171071",15.25,15.4702980007982
"171072",12.3333333333333,12.4427405902172
"171073",10.495,10.9331660329128
"171074",16.6633333333333,16.7694931529272
"171075",15.4483333333333,15.5902466760121
"171076",18.0166666666667,18.1092699247864
"171077",14.9483333333333,15.2614149771865
"171078",16.165,16.0903151989311
"171079",18.5466666666667,18.3671079427282
"171080",14.465,14.5965329285679
"171081",13.385,13.7066276086243
"171082",13.8183333333333,14.0751457972116
"171083",16.6233333333333,16.5892492720651
"171084",18.6783333333333,18.3465176018215
"171085",19.2033333333333,19.2138950720088
"171086",17.99,17.8838005446795
"171087",12.81,13.0125381316121
"171088",19.8383333333333,19.9015092816737
"171089",19.5816666666667,19.5574349530663
"171090",18.7066666666667,18.7296014402482
"171091",18.9133333333333,18.9732234810373
"171092",19.6116666666667,19.7382979293187
"171093",19.415,19.4268073112882
"171094",17.7966666666667,17.8046571445638
"171095",18.5366666666667,18.6804631599775
"171096",18.7133333333333,18.6809384008193
"171097",19.2883333333333,19.3444214662112
"171098",18.715,18.7184336747152
"171099",19.6116666666667,19.6641677966559
"171100",19.415,19.4856223197057
"171101",18.55,18.8128752258258
"171102",18.7133333333333,18.6951101961176
"171103",17.0933333333333,17.5543507543949
"171104",18.3433333333333,18.7160572682429
"171105",18.3433333333333,18.6783633349003
"171106",16.6133333333333,16.8849356080206
"171107",16.3083333333333,16.6152273053744
"171108",16.0483333333333,16.1855382712036
"171109",16.4233333333333,16.7505263271971
"171110",16.7716666666667,16.9562222789902
"171111",13.4066666666666,13.8375715130514
"171112",19.1333333333333,19.3362566496416
"171113",18.7133333333333,18.7302714983702
"171114",17.86,18.0228378956801
"171115",18.7016666666667,18.6723314173027
"171116",14.085,14.1237008868599
"171117",8.70833333333334,8.59803775414947
"171118",7.54,7.53139527616776
"171119",9.50833333333333,9.52304506588326
"171120",10.2816666666667,10.4180184263868
"171121",13.5466666666667,13.4763404432212
"171122",13.255,13.3993513725435
"171123",12.7183333333333,12.8460883741997
"171124",13.2083333333333,13.0690102319907
"171125",12.4866666666667,12.5655060899851
"171126",16.4983333333333,16.500002979376
"171127",16.3166666666667,16.3421880549275
"171128",16.195,16.1685709957932
"171129",16.0066666666667,15.9935944089246
"171130",15.6083333333333,15.5877633595627
"171131",15.6516666666667,15.6028511663192
"171132",17.2416666666667,17.1224881104822
"171133",16.615,16.5733192016658
"171134",16.7433333333333,16.5110360168562
"171135",15.15,15.3652078401972
"171136",17.1683333333333,17.062581032331
"171137",13.5416666666667,13.6436192514568
"171138",15.2766666666667,15.2716427391538
