ID,C14_age,cal_BP,error,reservoir,depth
109057,245,,55,,21.5
109058,2055,,65,,151.5
109059,2430,,65,,166.5
109060,4105,,65,,265
109061,5245,,65,,336
109062,6920,,75,,397
165134,8590,,50,,474
165135,9740,,50,,535
165136,10110,,140,,550
165137,10730,,50,,583.75
165138,12580,,130,,633
