depth	min95%	max95%	best	accrate
239	3932	4462	4197	17.51
240	3952	4474	4215	17.44
241	3972	4489	4232	17.37
242	3992	4500	4250	17.31
243	4014	4513	4267	17.25
244	4036	4526	4284	17.19
245	4053	4539	4301	17.14
246	4073	4552	4318	17.09
247	4096	4565	4336	17.05
248	4116	4578	4353	17
249	4137	4591	4370	16.96
250	4160	4603	4387	16.93
251	4179	4616	4403	16.9
252	4198	4628	4420	16.87
253	4218	4640	4437	16.84
254	4238	4652	4454	16.82
255	4257	4667	4471	16.8
256	4279	4681	4488	16.78
257	4298	4696	4504	16.77
258	4318	4709	4521	16.76
259	4336	4725	4538	16.75
260	4353	4739	4555	16.75
261	4373	4753	4571	16.75
262	4393	4768	4588	16.75
263	4410	4784	4605	16.76
264	4428	4800	4622	16.77
265	4446	4816	4638	16.78
266	4464	4832	4655	16.8
267	4481	4847	4672	16.82
268	4499	4863	4689	16.84
269	4517	4880	4706	16.86
270	4534	4897	4723	16.89
271	4552	4914	4739	16.92
272	4569	4931	4756	16.95
273	4587	4948	4773	16.99
274	4604	4967	4790	17.03
275	4621	4985	4807	17.07
276	4639	5004	4824	17.12
277	4657	5022	4842	17.17
278	4675	5039	4859	17.22
279	4693	5055	4876	17.28
280	4711	5072	4893	17.33
281	4728	5089	4911	17.39
282	4746	5106	4928	17.46
283	4764	5124	4945	17.52
284	4782	5142	4963	17.59
285	4800	5159	4981	17.67
286	4819	5176	4998	17.74
287	4838	5195	5016	17.82
288	4856	5213	5034	17.9
289	4875	5231	5052	17.99
290	4894	5248	5070	18.07
291	4912	5266	5088	18.16
292	4929	5285	5106	18.26
293	4947	5304	5124	18.35
294	4964	5323	5142	18.45
295	4983	5340	5161	18.55
296	5001	5359	5179	18.66
297	5022	5377	5198	18.77
298	5045	5395	5217	18.88
299	5063	5414	5236	18.99
300	5081	5433	5255	19.11
301	5101	5453	5274	19.23
302	5120	5472	5293	19.35
303	5139	5490	5312	19.48
304	5159	5510	5332	19.61
305	5180	5528	5352	19.74
306	5202	5549	5371	19.88
307	5223	5569	5391	20.01
308	5246	5589	5411	20.15
309	5265	5612	5431	20.3
310	5287	5632	5452	20.45
311	5310	5652	5472	20.6
312	5332	5672	5493	20.75
313	5355	5691	5513	20.9
314	5376	5712	5534	21.06
315	5399	5730	5555	21.22
316	5423	5751	5577	21.39
317	5447	5772	5598	21.56
318	5470	5793	5620	21.73
319	5493	5814	5641	21.9
320	5518	5835	5663	22.08
321	5540	5856	5685	22.26
322	5564	5877	5708	22.44
323	5589	5898	5730	22.63
324	5612	5920	5753	22.81
325	5635	5942	5775	23.01
326	5658	5963	5798	23.2
327	5682	5984	5822	23.4
328	5706	6006	5845	23.6
329	5730	6028	5869	23.8
330	5754	6050	5892	24.01
331	5779	6074	5916	24.22
332	5804	6096	5941	24.43
333	5830	6119	5965	24.64
334	5855	6143	5990	24.86
335	5881	6165	6015	25.08
336	5907	6189	6040	25.31
337	5933	6214	6065	25.52
338	5959	6240	6091	25.74
339	5986	6265	6116	25.94
340	6013	6290	6142	26.14
341	6040	6315	6168	26.34
342	6067	6342	6195	26.52
343	6094	6370	6221	26.7
344	6121	6398	6248	26.88
345	6149	6425	6275	27.05
346	6177	6453	6302	27.21
347	6204	6481	6329	27.37
348	6232	6508	6356	27.52
349	6261	6536	6384	27.67
350	6289	6562	6412	27.8
351	6316	6589	6439	27.94
352	6343	6618	6467	28.06
353	6370	6644	6495	28.18
354	6399	6671	6524	28.3
355	6427	6700	6552	28.41
356	6456	6729	6580	28.51
357	6485	6756	6609	28.61
358	6515	6786	6637	28.7
359	6544	6815	6666	28.78
360	6571	6844	6695	28.86
361	6599	6872	6724	28.93
362	6628	6899	6753	28.99
363	6657	6929	6782	29.05
364	6689	6958	6811	29.11
365	6717	6984	6840	29.16
366	6745	7010	6869	29.2
367	6773	7039	6898	29.23
368	6803	7069	6927	29.26
369	6832	7095	6957	29.28
370	6861	7122	6986	29.3
371	6891	7151	7015	29.31
372	6921	7181	7045	29.32
373	6952	7210	7074	29.31
374	6981	7241	7103	29.31
375	7010	7270	7132	29.29
376	7038	7300	7162	29.27
377	7065	7330	7191	29.25
378	7095	7360	7220	29.22
379	7124	7391	7250	29.18
380	7153	7420	7279	29.13
381	7184	7450	7308	29.08
382	7211	7480	7337	29.03
383	7239	7510	7366	28.96
384	7269	7540	7395	28.9
385	7294	7570	7424	28.82
386	7322	7600	7453	28.74
387	7350	7629	7481	28.65
388	7378	7659	7510	28.56
389	7406	7692	7539	28.46
390	7433	7721	7567	28.36
391	7461	7749	7595	28.25
392	7491	7778	7624	28.13
393	7517	7808	7652	28
394	7544	7837	7680	27.87
395	7572	7865	7708	27.74
396	7599	7891	7735	27.6
397	7625	7919	7763	27.45
398	7651	7947	7790	27.3
399	7677	7976	7818	27.16
400	7703	8005	7845	27.02
401	7729	8032	7872	26.88
402	7757	8060	7899	26.74
403	7783	8087	7926	26.6
404	7810	8115	7952	26.46
405	7836	8142	7979	26.33
406	7863	8168	8005	26.19
407	7890	8194	8031	26.06
408	7915	8220	8057	25.93
409	7938	8247	8083	25.8
410	7961	8272	8109	25.67
411	7984	8298	8135	25.55
412	8009	8323	8160	25.42
413	8036	8349	8186	25.3
414	8060	8374	8211	25.18
415	8083	8399	8236	25.06
416	8106	8425	8261	24.94
417	8128	8450	8286	24.82
418	8152	8474	8311	24.71
419	8176	8502	8336	24.6
420	8201	8528	8360	24.49
421	8224	8551	8385	24.38
422	8247	8577	8409	24.27
423	8271	8604	8433	24.16
424	8294	8628	8457	24.05
425	8319	8654	8481	23.95
