depth	min	max	median	wmean
0.5	-45.5	18	-13.7	-13
1.5	-38.3	51.1	-1	1.6
2.5	-34.3	90.6	10.7	16
3.5	-31.3	131.7	22	30.2
4.5	-29.4	173.4	32.9	44.3
5.5	-22.2	200.1	46.2	58.7
6.5	-12.8	213.2	63	73.3
7.5	-6.4	230.5	78.2	87.9
8.5	-2.6	249.8	92.1	102.4
9.5	1.5	277.3	106.1	116.9
10.5	11	296.7	120	131.3
11.5	24.3	309.7	135.4	145.5
12.5	33.2	325.5	152	159.6
13.5	39.9	343.5	169	173.7
14.5	44.9	364.8	182.7	187.7
15.5	58.4	380.2	197.5	202
16.5	74.7	388	214.8	216.5
17.5	88.3	399.2	232.7	231.4
18.5	99	412	248.7	246.1
19.5	106.5	430.2	265.6	260.6
20.5	121.6	448.1	281.1	275.4
21.5	138.3	460.7	295.8	290.3
22.5	147.2	478.2	308.8	304.7
23.5	153.8	500.6	319.8	319.1
24.5	158.7	526.7	330.9	333.3
25.5	166.6	548.9	344.3	347.7
26.5	177.8	565.6	359.2	362.3
27.5	185.8	585.8	373.4	377
28.5	194	606.8	387.2	391.6
29.5	199.5	633.4	401.6	406.3
30.5	211.7	653.6	416.1	421.3
31.5	225.5	669.8	431.4	436.8
32.5	234.6	688.3	446.2	452.1
33.5	243.8	712.1	462.3	467.6
34.5	252.3	734.3	477.3	482.8
35.5	263.4	752.9	491	498
36.5	278	769	507.7	513.7
37.5	288.9	790.3	522.9	529.1
38.5	297.6	813.8	537.7	544.5
39.5	306.1	839.1	551.8	559.6
40.5	316.6	856.8	566.5	574.5
41.5	329.8	869.2	581.8	589.6
42.5	340.4	884.1	597.5	605
43.5	351.6	901.7	613.1	620.2
44.5	361.8	923.5	627.8	635.2
45.5	374.5	940.8	642.8	650.2
46.5	389.1	952.8	657.3	664.9
47.5	401.8	968.7	672.4	679.6
48.5	410.5	988.2	687.3	694.2
49.5	420.7	1012.9	701.6	708.8
50.5	432.6	1028.1	716.9	723.6
51.5	445.5	1038.5	732	738.3
52.5	458.1	1054	747.1	753.1
53.5	468	1069.7	761.6	767.7
54.5	476.3	1092.3	775.7	782.3
55.5	492	1111.5	791.3	797.8
56.5	510.7	1127	806.8	813.3
57.5	528.3	1143.3	823	828.8
58.5	539.4	1160.6	839	844.5
59.5	551.5	1183.8	854.5	860
60.5	566.1	1201.5	870.2	875.6
61.5	585.4	1213.5	885.3	890.8
62.5	601.3	1226.6	901.1	905.9
63.5	615.5	1244.2	915.2	920.5
64.5	625.6	1263.5	929.8	935.2
65.5	635.9	1280.2	944.2	950
66.5	648.6	1294.6	959	964.9
67.5	661.7	1307.9	974.7	979.8
68.5	672.9	1323.6	989.4	994.5
69.5	682.7	1345.3	1003.7	1009.2
70.5	697.6	1360	1018.9	1024.1
71.5	717.4	1372.9	1035	1039.4
72.5	733.4	1384.8	1051.5	1055
73.5	747	1401.2	1067.6	1070.8
74.5	757.1	1417.5	1082.8	1086.6
75.5	772.5	1432.5	1099.3	1102
76.5	788.1	1443.6	1114.7	1117
77.5	801.7	1455.3	1131.2	1131.8
78.5	813.5	1469.3	1145.9	1146.9
79.5	825.1	1486	1161.1	1161.8
80.5	838	1500.4	1176.2	1176.5
81.5	858	1512.4	1190.3	1190.7
82.5	872.2	1524.8	1205.1	1205.5
83.5	884.2	1537.2	1220.4	1220
84.5	897.5	1556.1	1235.9	1234.9
85.5	912.1	1574.5	1250	1249.7
86.5	928	1588.4	1265.2	1264.5
87.5	942.3	1603.8	1279.6	1279.2
88.5	953.3	1619	1294	1294.2
89.5	963	1634.9	1307.8	1309
90.5	977.7	1646.6	1323.4	1323.7
91.5	996.4	1657.7	1337.9	1339
92.5	1013.2	1668.6	1353.2	1353.8
93.5	1025.7	1682.6	1367.9	1369
94.5	1039.1	1700.9	1383.4	1383.9
95.5	1054.8	1717.5	1398.3	1398.5
96.5	1070.9	1727	1412.3	1413
97.5	1086.9	1739.7	1426.4	1427.7
98.5	1102.2	1755.7	1440.5	1442.4
99.5	1113.6	1775.6	1454.8	1457.1
100.5	1129.9	1792.3	1468.9	1471.8
101.5	1149.4	1802.9	1483.5	1486.8
102.5	1163.6	1817.7	1499.9	1501.6
103.5	1177.1	1832.6	1513.6	1516.5
104.5	1189.7	1847.1	1528.8	1531.1
105.5	1204.9	1862.4	1543.8	1546
106.5	1220.2	1873.3	1558.2	1560.4
107.5	1238.4	1885.9	1574.4	1575.5
108.5	1255.3	1898.5	1588.6	1590.3
109.5	1269.3	1912.9	1604.3	1605.1
110.5	1286.6	1929	1619.1	1620.1
111.5	1309.2	1938.2	1634.9	1635.5
112.5	1328	1950.6	1650.8	1650.8
113.5	1344.7	1964.8	1665.8	1666.4
114.5	1358.6	1980.9	1681.6	1681.8
115.5	1377.4	1995.6	1697	1696.9
116.5	1395.8	2006.7	1710.3	1711.6
117.5	1411.8	2021.2	1724.7	1726.2
118.5	1426.4	2035.7	1740.2	1741
119.5	1443	2049.4	1755.4	1755.8
120.5	1463.1	2064.1	1770.5	1770.7
121.5	1485.3	2072.7	1785.4	1785.9
122.5	1506.1	2085.8	1801.1	1801.1
123.5	1521.6	2097	1816	1816
124.5	1540.1	2112.9	1831.1	1831.4
125.5	1557.1	2126.7	1845.8	1846.8
126.5	1579.2	2135.7	1860.1	1862
127.5	1601.9	2148.7	1875.4	1877.4
128.5	1617.5	2163.2	1891.5	1892.9
129.5	1634.5	2179	1906.7	1908.3
130.5	1654.4	2191.7	1919.7	1923
131.5	1680.2	2201.1	1932.2	1937.2
132.5	1702.3	2210.6	1946.4	1951.4
133.5	1718.2	2221.8	1960	1965.6
134.5	1738.8	2234.1	1973.8	1980.1
135.5	1760.5	2246.3	1988.3	1994.9
136.5	1784.8	2255.1	2001.8	2010.1
137.5	1808.8	2264.9	2016.7	2025.3
138.5	1830.8	2275.3	2031.3	2040.5
139.5	1847.1	2288.2	2045.9	2055.8
140.5	1870.9	2300.5	2061.6	2072.1
141.5	1898.8	2309.4	2078.6	2089.5
142.5	1919	2322.9	2096.9	2107.2
143.5	1932.3	2343	2115.2	2124.9
144.5	1946.1	2365.7	2132.5	2142.8
145.5	1961	2385.3	2149.9	2160.8
146.5	1982.4	2401.7	2166.9	2179.2
147.5	1998.1	2420.9	2185.4	2197.8
148.5	2011.9	2443.7	2204	2216.1
149.5	2024.8	2470.3	2222.4	2234.7
150.5	2043.2	2492	2240.8	2253.2
151.5	2064.8	2503.9	2260.4	2272
152.5	2080.3	2520.9	2280.7	2290.9
153.5	2093.8	2539.1	2301.5	2309.8
154.5	2104.6	2561.5	2320.4	2328.8
155.5	2122.3	2578.3	2338.5	2347
156.5	2147	2590.3	2355.6	2364.5
157.5	2165.2	2600.1	2373.6	2382.1
158.5	2181.4	2613.8	2392.1	2399.7
159.5	2193.3	2633.7	2409.8	2417.3
160.5	2214.7	2649.7	2428.6	2435.2
161.5	2241.7	2659.8	2447.9	2453.5
162.5	2267.3	2671.1	2468.3	2472
163.5	2285.8	2686.6	2487.8	2490.6
164.5	2301.2	2705.4	2505.8	2509
165.5	2327.2	2721.5	2525.4	2528.3
166.5	2351.7	2733.3	2547.5	2548.3
167.5	2371.1	2750.3	2569.2	2568.4
168.5	2383.3	2777.4	2589.5	2588.4
169.5	2393.7	2813.2	2610.4	2608.4
170.5	2406.8	2845.3	2630.5	2628.7
171.5	2420.6	2870.8	2651.7	2649.6
172.5	2431.6	2906.6	2673	2670.6
173.5	2440.7	2944.4	2692	2691.3
174.5	2448.5	2984.1	2713.1	2712
175.5	2463.9	3015.6	2733.3	2732.6
176.5	2484.3	3036.2	2754.4	2753.9
177.5	2500.1	3058.7	2775.2	2774.9
178.5	2515.3	3091.3	2797.5	2796.2
179.5	2527	3126.9	2816.8	2817.1
180.5	2543	3154.2	2837.6	2838.8
181.5	2561.7	3174.1	2859.1	2860.8
182.5	2577.1	3201.3	2880.5	2882.6
183.5	2589.6	3231.3	2902.6	2904.5
184.5	2600	3263.9	2922.3	2926.2
185.5	2617.6	3294	2941.7	2947.5
186.5	2638.7	3312.9	2962.8	2968.2
187.5	2657.2	3338.6	2983.9	2989.2
188.5	2674.3	3365.7	3003.6	3010.1
189.5	2686.4	3396.2	3023.1	3030.8
190.5	2705	3423.2	3043.4	3051.4
191.5	2723.4	3441.5	3063.2	3071.8
192.5	2742.2	3462.5	3083.2	3092.2
193.5	2755	3481.6	3104.3	3112.5
194.5	2767.7	3503.5	3124.5	3132.8
195.5	2785.8	3528.4	3146.2	3153.8
196.5	2807.7	3549.2	3167.3	3174.7
197.5	2827.7	3571	3191.6	3196
198.5	2841.9	3597.4	3213.2	3217
199.5	2861.6	3628	3233.9	3237.9
200.5	2877.3	3649.5	3254.6	3259.5
201.5	2897.2	3668.4	3277.1	3281.2
202.5	2915.9	3691.9	3300.7	3303.3
203.5	2930.7	3718.8	3322.1	3325
204.5	2943.5	3745.8	3342.8	3346.3
205.5	2966.4	3772.7	3363.6	3367.9
206.5	2991.5	3789.2	3384.5	3389
207.5	3007.2	3810.4	3405.3	3410.7
208.5	3023.2	3832.9	3427.3	3431.8
209.5	3041.2	3860.1	3448.1	3453.2
210.5	3061	3882.4	3468.8	3474.5
211.5	3087.3	3899.4	3492.4	3496.5
212.5	3106.3	3918	3515.7	3518.2
213.5	3128	3940.6	3538.8	3539.7
214.5	3146	3967.1	3558.9	3561.1
215.5	3170.1	3988.4	3579.6	3582.4
216.5	3197.7	4001.1	3601.9	3603.3
217.5	3221	4018.7	3623.4	3624.7
218.5	3239.6	4041.2	3645.2	3646.2
219.5	3254.3	4061.9	3666.7	3667.5
220.5	3278.5	4081.5	3688.9	3688.9
221.5	3304.2	4097.4	3710.7	3709.8
222.5	3332.2	4117	3733.6	3731.3
223.5	3354.3	4140.4	3756.2	3752.7
224.5	3372.3	4168.4	3777.6	3774.3
225.5	3394.4	4189.3	3799.2	3795.9
226.5	3419.3	4203.2	3819.7	3817.7
227.5	3439.6	4219.1	3840.9	3839.3
228.5	3455.9	4238.9	3863.5	3861.1
229.5	3472.6	4266.1	3884.2	3882.6
230.5	3494.5	4285.3	3905.4	3903.3
231.5	3522.5	4299.1	3927.4	3924.3
232.5	3547.1	4313.7	3947.4	3944.6
233.5	3566.6	4331.3	3969	3965.6
234.5	3586.9	4352.4	3991	3987
235.5	3610	4368.8	4012.1	4008
236.5	3632.6	4385.3	4033.3	4028.8
237.5	3655.3	4403.1	4054.4	4049.7
238.5	3675.3	4421.1	4074.1	4070.5
239.5	3692	4442.1	4093.8	4091.4
240.5	3718.8	4462.6	4116.2	4112.8
241.5	3748	4477.3	4138.5	4135.2
242.5	3773	4490.7	4162.5	4157.3
243.5	3796.4	4511.2	4186.3	4179.7
244.5	3813.5	4534.2	4208.8	4201.8
245.5	3841.1	4553.5	4229.2	4222.9
246.5	3870.8	4565.5	4249.5	4243.2
247.5	3895.6	4579	4270.7	4263.6
248.5	3915	4594.7	4292.5	4284
249.5	3930.9	4612.7	4312.4	4304.3
250.5	3960.9	4628.8	4332.8	4325.2
251.5	3995.6	4640.8	4353.3	4346.7
252.5	4022.6	4654.3	4374.6	4368.5
253.5	4049.6	4671.5	4397.2	4389.9
254.5	4070.3	4696.1	4419.6	4412
255.5	4098.1	4713.9	4440	4433.3
256.5	4136.8	4724.1	4458.5	4453.8
257.5	4165.9	4736.9	4478.3	4474.3
258.5	4187.5	4749.4	4497.9	4494.8
259.5	4209	4766.9	4517.4	4515.5
260.5	4242.4	4781	4537.1	4536.3
261.5	4282.9	4790.9	4556.9	4558.1
262.5	4325.6	4800.4	4577	4579.6
263.5	4359.7	4814.3	4597.9	4601.3
264.5	4385.4	4832.5	4619.6	4623.1
