Lab ID,14cAge,14C Std (yr),Avg Sample Depth (cm),CC
coretop,-20,10,0.5,0
Wis- 993,245,55,21.5,1
Wis- 994,2055,65,141.5,1
Wis- 995,2430,65,166.5,1
Wis- 996,4105,65,265,1
Wis- 997,5245,65,336,1
Wis- 998,6920,75,397,1
Cams 78446,8590,50,474,1
Cams 78445,9740,40,535,1
Cams 78444,10110,140,550,1
Cams 78443,10730,50,584,1
Cams 78442,12580,130,635,1
