depth	min	max	median	wmean
0.5	-44.2	19.2	-14.7	-14.1
1.5	-35.2	34.6	-2.3	-1.5
2.5	-28.5	51.3	10.5	11.2
3.5	-24	70.8	22.9	23.9
4.5	-20.6	92.2	35.5	36.6
5.5	-17.8	113.6	47.9	49.3
6.5	-16.2	135.5	60.4	62
7.5	-13.4	158.1	72.7	74.5
8.5	-12.1	180.1	85.1	87.1
9.5	-10.1	202.8	97.1	99.7
10.5	-7.9	225.8	109.4	112.2
11.5	-6.3	248.9	120.8	124.8
12.5	-3.5	271.9	132.8	137.5
13.5	0	294	145.6	150.1
14.5	2.2	316.8	157.6	162.8
15.5	5.6	340.3	170	175.7
16.5	7.1	363.2	182.2	188.4
17.5	10.8	386.5	193.3	201
18.5	13.4	409.2	206.5	213.6
19.5	15.9	433.1	219.1	226.3
20.5	17	456.1	231.6	239
21.5	19.8	479	243.8	251.8
22.5	22.1	502.7	255.2	264.4
23.5	24	526.4	267.8	277.1
24.5	26.7	549.1	280.7	289.7
25.5	29.4	571.3	293.2	302.3
26.5	31.8	594.1	305.8	314.9
27.5	33.8	616.9	319.1	327.7
28.5	35.6	639.6	331.2	340.3
29.5	37.1	664.4	343.4	352.9
30.5	46.6	683.7	356.9	367.2
31.5	63.8	700.2	373	383.2
32.5	76.6	720.5	390.3	398.9
33.5	90.9	740	409.4	415.2
34.5	102.4	768.2	427.9	431.9
35.5	116.1	788.5	445.1	448.2
36.5	122.5	812	462.5	464.7
37.5	131.1	837.6	477.2	480.9
38.5	140.9	863.9	492.2	497.4
39.5	146.8	891.5	507.2	513.6
40.5	154	917.2	524	530.2
41.5	162.9	947.1	541.5	546.3
42.5	169.8	974.3	558.6	562.7
43.5	175.4	1006.4	575.4	579.1
44.5	183.7	1039.1	591.6	595.4
45.5	190.9	1066.4	607.2	611.8
46.5	198.2	1104.6	622	628
47.5	202.9	1140	638.5	644.2
48.5	210.6	1170.8	654.9	660.1
49.5	215.6	1208.3	670.4	676.6
50.5	219.6	1240.5	686	692.9
51.5	225.5	1272.9	702.1	709.5
52.5	231.2	1308.4	717.2	725.4
53.5	235.1	1341.5	731.3	741.5
54.5	240.6	1374.5	746.7	758.2
55.5	247.7	1408.4	762.9	774.9
56.5	246.7	1443.5	776.9	789.9
57.5	251.8	1477.3	793.2	807.2
58.5	254.9	1513.1	804.2	823.2
59.5	260.8	1549.2	820.5	839.6
60.5	270.4	1568.9	834.6	854.3
61.5	287.1	1579.7	847.3	866.6
62.5	305.9	1588.5	859.9	879.8
63.5	322.3	1596.2	874.2	892.8
64.5	335.4	1606.3	886.8	905.8
65.5	352.6	1611.7	899.6	918.5
66.5	363.5	1622.6	913	931.2
67.5	374.8	1631.9	923.4	944.4
68.5	386.3	1642.2	934.9	957.2
69.5	395.6	1650.9	948	970.6
70.5	411.6	1665.5	959.4	983.5
71.5	420.5	1673.2	972.6	995.7
72.5	429.8	1682.4	984.2	1008.5
73.5	435.7	1687.1	995.6	1021.6
74.5	442.2	1697.8	1006.7	1035.2
75.5	453.3	1703.5	1016.8	1048
76.5	460.3	1718.1	1028.5	1060.8
77.5	468.8	1726	1045.6	1073.9
78.5	475.8	1743.7	1060.1	1086.7
79.5	484.4	1756.3	1075.2	1099.4
80.5	497.4	1764.1	1090.1	1112.5
81.5	505.6	1780.5	1103.2	1125.5
82.5	512.2	1795.5	1120.5	1138.2
83.5	516.4	1812	1132.7	1150.9
84.5	522.2	1827.3	1149.2	1163.9
85.5	530	1849.1	1163.1	1176.9
86.5	538.3	1863	1176.6	1189
87.5	547.2	1887.9	1189.6	1201.9
88.5	554.5	1909.2	1202.8	1214.8
89.5	562.2	1930.9	1213	1226.9
90.5	582.5	1954.6	1228.8	1241.5
91.5	614.5	1958.6	1249	1258.6
92.5	641.6	1957.5	1265.7	1274.9
93.5	669.5	1963.3	1284.2	1291.1
94.5	695.7	1966.6	1300.7	1307.8
95.5	716.6	1969.4	1319	1324
96.5	741.6	1972.6	1335.4	1340
97.5	765.8	1976.4	1353	1356
98.5	791.6	1984.1	1371.1	1372.9
99.5	817.1	1989.4	1387.9	1389.3
100.5	833	1994.6	1409.1	1405.7
101.5	850.7	2001.7	1425.5	1422.4
102.5	873.4	2010.1	1440.9	1438.8
103.5	886.1	2016	1458.6	1455.5
104.5	896.2	2022.9	1474.5	1471.4
105.5	907.1	2037.1	1493.3	1488
106.5	920.2	2043.6	1510.3	1504.8
107.5	932.4	2052.2	1529.5	1521.1
108.5	942.6	2060.2	1546.9	1537.6
109.5	953.9	2068.1	1565.1	1554.2
110.5	962.1	2072.3	1586.5	1570.9
111.5	973.5	2082.4	1604.7	1587.3
112.5	977.2	2099.2	1624.1	1604
113.5	990.2	2105.4	1640.6	1619.8
114.5	992.3	2123.3	1658.2	1635.9
115.5	1003.1	2135.4	1676.9	1652.7
116.5	1012.4	2155	1696.1	1669.3
117.5	1023.1	2171.6	1714.7	1685.1
118.5	1031	2181.6	1732.6	1701.2
119.5	1041.6	2207.6	1753.2	1717.1
120.5	1069.3	2218.1	1768.6	1733.7
121.5	1108.7	2224.3	1780.6	1749.3
122.5	1147.9	2228.3	1793.6	1765.4
123.5	1191.1	2233.5	1808.4	1781.5
124.5	1228	2238	1824.7	1797
125.5	1269.3	2240.6	1836.1	1812.5
126.5	1309.9	2248.6	1849.8	1828.7
127.5	1348.2	2253.6	1863.8	1844.7
128.5	1382.2	2261.4	1875.9	1860
129.5	1421.1	2263.2	1889.6	1875.6
130.5	1459.5	2268.9	1903.5	1891.8
131.5	1495.5	2276	1918.8	1907.6
132.5	1534.5	2274.9	1931.7	1923.3
133.5	1568.2	2282.1	1946.1	1938.9
134.5	1599.2	2291.4	1959.8	1954.8
135.5	1632.5	2295.4	1972.4	1970.5
136.5	1663	2300.7	1984.9	1986.3
137.5	1695.2	2308.9	1997.1	2002.1
138.5	1721.6	2312.4	2011.2	2018.1
139.5	1752.1	2320.4	2025	2034.2
140.5	1779.7	2327.9	2038.9	2050.4
141.5	1808.8	2335.7	2053.7	2066.5
142.5	1836.4	2344.1	2069.4	2082.9
143.5	1863.2	2354.7	2085.3	2099
144.5	1885.3	2365.4	2102.5	2114.7
145.5	1903.5	2375	2118.7	2130.9
146.5	1921.4	2389.6	2135.3	2147
147.5	1935.6	2408.1	2153.3	2163.5
148.5	1949.6	2430.3	2170.9	2179.6
149.5	1959.9	2456.9	2187.3	2195.6
150.5	1979.6	2471.4	2204.5	2212.4
151.5	2005.9	2479.6	2220.4	2229.1
152.5	2029.2	2491.9	2238.6	2246.6
153.5	2054	2497.7	2255.5	2263.6
154.5	2078.4	2508.9	2273.9	2280.9
155.5	2101.3	2517	2291.7	2298
156.5	2125	2531	2309	2315.2
157.5	2141.2	2541.6	2328	2331.9
158.5	2158.2	2552.4	2345.4	2349.3
159.5	2174.4	2568.1	2363.6	2366.4
160.5	2189.5	2581.3	2380.3	2383
161.5	2202.8	2598.5	2396.9	2400.5
162.5	2221.2	2614.2	2413.4	2417.5
163.5	2236.7	2631.5	2427.7	2434.4
164.5	2252.7	2647.1	2443.3	2451.5
165.5	2271.6	2666.5	2457.9	2468.6
166.5	2289.4	2684.8	2472.4	2486
167.5	2302.3	2702.4	2486.9	2502.5
168.5	2319.8	2725.7	2503.2	2519.9
169.5	2337.3	2747.9	2518.3	2536.9
170.5	2354.9	2770.5	2534.2	2553.8
171.5	2368.1	2794.9	2549	2571.2
172.5	2380.7	2820.7	2565.5	2588.4
173.5	2388.2	2846.5	2581.8	2605.3
174.5	2395.1	2873.6	2597.9	2622.4
175.5	2402.9	2901.5	2614.5	2639.8
176.5	2411	2929.3	2632.7	2657
