depth	min	max	median	wmean
148.5	1974.5	2395.7	2172	2176.6
149.5	1989.7	2411.9	2189	2193.7
150.5	2003	2425.1	2205.8	2210.8
151.5	2015.8	2445.5	2223.1	2227.6
152.5	2028.4	2464.3	2240.7	2244.5
153.5	2037.8	2486.7	2258.2	2261.7
154.5	2049.1	2510.8	2274.8	2278.4
155.5	2057.9	2534.4	2289.8	2295.6
156.5	2063.7	2558.1	2307.1	2312.7
157.5	2070.3	2585.6	2323.6	2329.1
158.5	2076	2617	2339.3	2346.2
159.5	2084.5	2649.5	2355.2	2362.7
160.5	2106.4	2666.5	2372.7	2381.9
161.5	2146.3	2674.4	2393.6	2403.9
162.5	2183.3	2682.7	2414.5	2425.7
163.5	2218.7	2688.5	2436.9	2448.2
164.5	2253	2699.7	2459.1	2470.3
165.5	2291.6	2713.8	2478.8	2492.7
166.5	2319.9	2730.5	2500.6	2514.5
167.5	2341.3	2751.5	2523.2	2536.7
168.5	2359.1	2777.9	2546.8	2558.8
169.5	2373.6	2816.4	2569.4	2581
170.5	2379.6	2862.7	2592.4	2603.2
171.5	2389.2	2906.8	2615.9	2625.8
172.5	2395.9	2950.2	2636.5	2647.9
173.5	2404.6	2997.8	2657.8	2670.1
174.5	2413.2	3048	2677.5	2692.3
175.5	2422.1	3097.5	2696	2714.2
176.5	2428.7	3146.4	2715.7	2736.1
177.5	2435.5	3194.9	2732.5	2758
178.5	2442.9	3243.5	2750.6	2779.7
179.5	2446.2	3294.5	2768.3	2801.2
180.5	2461.6	3326	2785.9	2822.5
181.5	2488.2	3334.8	2808	2843.6
182.5	2508.9	3352.3	2830.7	2864.6
183.5	2520.7	3367.3	2853.9	2885.8
184.5	2537.6	3379.9	2876.3	2906.2
185.5	2550.5	3397.9	2900.9	2927.1
186.5	2561.1	3418.3	2924.1	2947.9
187.5	2566.5	3438.2	2945.9	2968.4
188.5	2578	3455.7	2970.4	2989.1
189.5	2588.3	3481.1	2994.4	3009.9
190.5	2598.2	3508	3017.6	3030.3
191.5	2602.8	3536.1	3041.1	3051.1
192.5	2613.9	3568.4	3063.2	3071.9
193.5	2621.2	3595.8	3085.3	3093
194.5	2626.7	3628.5	3107.2	3113.2
195.5	2634.1	3664.5	3127.6	3134.1
196.5	2641.3	3702.7	3148.6	3154.9
197.5	2648	3744.9	3170.8	3175.1
198.5	2652	3781.5	3190.5	3196.1
199.5	2659.2	3821.6	3210.8	3215.8
200.5	2677.1	3849.4	3232.1	3237.4
201.5	2708.6	3860.2	3254	3259.6
202.5	2732.9	3873.7	3276.2	3282
203.5	2756.3	3887.4	3298.5	3304.5
204.5	2779.3	3901.7	3323.2	3326.5
205.5	2799.7	3917.1	3349.9	3349
206.5	2821	3935.2	3374.5	3371.8
207.5	2837.7	3945.6	3401.6	3393.7
208.5	2853.7	3960.3	3425.2	3416.2
209.5	2876.2	3976.6	3449.9	3439
210.5	2892.7	3994	3474	3461.3
211.5	2908.4	4017.2	3497.6	3484.1
212.5	2927.1	4040	3522	3506.7
213.5	2944.4	4068.6	3543.8	3529
214.5	2958.7	4096.8	3568.1	3551.4
215.5	2967.4	4130.9	3592.6	3573.7
216.5	2978.2	4167.2	3614.2	3595.2
217.5	2985.2	4205.2	3636.4	3617.7
218.5	2994.8	4246.1	3656.4	3639.4
219.5	3000.9	4283.7	3677.2	3661.6
220.5	3019.1	4311.6	3696	3682.6
221.5	3042.6	4321.5	3715.3	3702.2
222.5	3072.3	4331.8	3737	3722.2
223.5	3107.9	4341.7	3755.5	3741.6
224.5	3131.7	4350.2	3776.5	3761.4
225.5	3159.5	4364.1	3796.8	3781.9
226.5	3180.7	4373	3815.1	3801.9
227.5	3206.1	4382.6	3834.2	3821.5
228.5	3225	4396	3855	3841.5
229.5	3250	4409.5	3874.6	3861.6
230.5	3272.1	4423.5	3892.7	3881.5
231.5	3291.1	4436.1	3912.4	3901.1
232.5	3310.3	4446.9	3934	3921.4
233.5	3328.3	4472.1	3952.6	3940.9
234.5	3347.8	4492.1	3973.7	3961.2
235.5	3361.4	4504.2	3994.3	3981.3
236.5	3373.1	4528.7	4015.1	4000.5
237.5	3386.3	4548.3	4034	4020.5
238.5	3399.4	4568.1	4056	4040
239.5	3411.1	4593.6	4076.9	4059.5
240.5	3439.3	4612.8	4098.8	4081.4
241.5	3488.2	4615.1	4122.2	4104.4
242.5	3533.6	4619.9	4143.5	4127.5
243.5	3582.4	4626.4	4165.1	4150.6
244.5	3627.8	4634	4187.1	4173.6
245.5	3674.8	4637.2	4210.4	4196.5
246.5	3722.6	4645.1	4231.5	4219.8
247.5	3766.6	4656.3	4251.7	4242.8
248.5	3810	4660	4275.8	4266.3
249.5	3856.6	4672.6	4295.6	4289.4
250.5	3893.4	4679.9	4317.2	4312.8
251.5	3930.6	4690.1	4342.2	4336.4
252.5	3965	4699	4365.5	4359.8
253.5	3996.9	4712.5	4388.1	4382.7
254.5	4030.6	4724.5	4410.3	4406.1
255.5	4053.4	4738.1	4432.7	4429.6
256.5	4078.5	4754.2	4455.3	4452.9
257.5	4097.8	4772.9	4480	4476.6
258.5	4120.6	4789.3	4503.9	4499.8
259.5	4139	4813.7	4526.8	4523.2
260.5	4164.4	4829.1	4547.5	4544.5
261.5	4208.8	4834.5	4564.2	4564.5
262.5	4249.3	4839.8	4584.4	4585.3
263.5	4291.5	4846.5	4600.9	4604.6
264.5	4326.6	4856	4620.7	4624.6
265.5	4359.8	4864.7	4638.9	4644.7
266.5	4377.3	4879.1	4659.4	4664.7
267.5	4386.4	4894.3	4680.5	4684.3
268.5	4407	4921.6	4700.5	4704.3
