depth	min	max	median	wmean
0.5	-42.6	17.1	-13.9	-13.4
1.5	-35.5	41.4	-1.6	0.3
2.5	-32	73.2	10.2	13.9
3.5	-28.2	106.1	22.1	27.5
4.5	-25.9	139.6	34.1	41.2
5.5	-23.6	173.8	46	55
6.5	-21.7	208.1	58	68.6
7.5	-20.6	243.5	69.7	82.3
8.5	-19.2	279.2	81.5	96
9.5	-17.6	313	93.3	109.5
10.5	-9.5	334.2	105.9	123.2
11.5	3.3	339.9	120.3	136.8
12.5	13.9	349.2	135	150.5
13.5	21.6	358	150.7	164.1
14.5	29.8	368.4	167.7	177.8
15.5	37.5	379.1	185.5	191.4
16.5	42.5	390.4	203.8	205.1
17.5	49.5	403.9	221.5	218.7
18.5	53.6	419.5	238.9	232.3
19.5	57.9	439.1	254.5	245.8
20.5	68.2	454.3	271.2	260.5
21.5	81.2	466.8	288.6	276.1
22.5	89.9	486.8	299.9	291.5
23.5	98.4	508.6	311.1	306.8
24.5	106.8	537	321.8	322
25.5	114	569.7	333.6	336.9
26.5	120.5	606.5	345.8	351.9
27.5	126.9	641.3	359	366.9
28.5	131.4	683.8	373.2	382
29.5	136.4	725.5	385.1	396.9
30.5	145.9	753.8	398.7	411.4
31.5	160.1	763	412.8	426.1
32.5	169	778.6	427.2	441
33.5	179.5	796.2	442.2	456
34.5	187.8	816.8	456.1	470.6
35.5	197.8	836.1	471.2	485.5
36.5	203.9	859.2	486.8	500.3
37.5	210.5	880.4	501.3	515.2
38.5	213.4	906.1	515.9	530.1
39.5	218.9	934.1	529.1	544.7
40.5	228.6	958.1	543.6	558.9
41.5	242	971.3	558.1	573
42.5	256.1	990.8	572.6	587.4
43.5	268.1	1001.9	587.8	601.9
44.5	279.3	1014.9	600.6	616.3
45.5	290.2	1028.9	616.3	630.5
46.5	295.8	1047.1	632.6	645.1
47.5	303.4	1070.9	647	659.6
48.5	308.1	1089.8	661.2	673.8
49.5	316.1	1108.2	675	688.5
50.5	331.1	1127.5	688.6	703.1
51.5	349.9	1139.6	702.2	717.1
52.5	363.6	1155.9	716.4	731.9
53.5	375.7	1172.5	730	746.4
54.5	386.5	1191.5	745.9	760.9
55.5	398.7	1206.7	761.9	775.4
56.5	405	1222.2	776.6	789.8
57.5	415.1	1239.5	788.6	803.9
58.5	426.8	1261.5	804.3	819
59.5	435.8	1284.7	818.1	832.9
60.5	448.5	1298.4	833.4	848.1
61.5	467.6	1308	848.4	863.5
62.5	490.8	1320	863.6	879.2
63.5	509.1	1332.5	878.9	894.6
64.5	522.9	1351.1	896.7	910.5
65.5	537.1	1367.8	912.4	925.8
66.5	547.4	1385.4	928.8	941
67.5	558.2	1403.1	944.6	956.4
68.5	567.5	1420	960	971.7
69.5	577.7	1446	975.6	987.2
70.5	590.3	1462	989.7	1002.3
71.5	603.6	1474.5	1005.7	1017
