ID,C14_age,cal_BP,error,reservoir,depth
1,245,,55,,21.5
2,2055,,65,,141.5
3,2430,,65,,166.5
4,4105,,65,,265
5,5245,,65,,336
6,6920,,75,,397
7,8590,,50,,474
8,9740,,40,,535
9,10110,,140,,550
10,10730,,50,,584
11,12580,,130,,635
