"name","group","element","units","context","S165274","S165275","S165276","S165277","S165278","S165279","S165280","S165281","S165282","S165283","S165284","S165285","S165286","S165287","S165288","S165289","S165290","S165291","S165292","S165293","S165294","S165295","S165296","S165297","S165298","S165299","S165300","S165301","S165302","S165303","S165304","S165305","S165306","S165307"
Leptecophylla,Vascular plants,pollen,NISP,,,,1,1,4,,,,,,,3,,,,,,,,1,1,1,3,1,,,,,1,,,1,1,1
Lycium,Vascular plants,pollen,NISP,,2,,,,,,3,,,,2,1,5,1,3,2,,,,2,,,,,,,,,,,,,,
Lycopodiella cernua,Vascular plants,spore,NISP,,,3,1,2,,,2,,,1,,2,2,,,,,2,1,,,,,,1,,,,1,,,,,
Lycopodium spike,Laboratory analyses,counted,number,,222,315,229.5,181,360,,144,136,264,111,118,175,153,188,180,162,,166,160,134,173,,229,182,217,122,189,151,150,138,44,8,,142
Lycopodium venustulum,Vascular plants,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1
Melicope,Vascular plants,pollen,NISP,,,,,,,,,2,4,,2,,2,,1,,,,,,,1,,,,,,,,,,,,
Morinda,Vascular plants,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Myrsine,Vascular plants,pollen,NISP,,,3,30,22,10,34,23,40,8,41,32,47,41,56,34,46,5,8,4,4,2,1,4,1,5,,1,,2,11,2,1,4,2
Myrtaceae,Vascular plants,pollen,NISP,,1,,2,4,,18,2,1,2,1,2,1,1,2,,2,18,,,,4,,,,,,,2,,,,1,2,8
Nestegis,Vascular plants,pollen,NISP,,1,,,,2,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,1,1
Pandanus,Vascular plants,pollen,NISP,,1,,8,2,6,3,2,2,10,,2,,6,1,1,1,16,,,,7,1,,3,,,,,1,,,,,
Phyllanthus,Vascular plants,pollen,NISP,,,,,,,,,,,,2,,,1,,,,1,,1,,,,,,,,,,,,,,
Platydesma,Vascular plants,pollen,NISP,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,Vascular plants,pollen,NISP,,1,3,3,6,6,9,3,4,8,1,5,1,4,2,1,1,24,20,7,33,11,30,13,22,15,23,23,15,10,20,57,6,1,5
Polypodium pellucidum,Vascular plants,spore,NISP,,,6,5,2,,,3,2,,,6,4,1,3,3,7,5,6,5,3,10,3,5,,2,,3,4,3,1,2,2,5,9
Polyscias,Vascular plants,pollen,NISP,,4,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,
Pritchardia,Vascular plants,pollen,NISP,,,,,,,,,,,,,3,,2,3,2,3,2,1,3,,,,3,3,1,,3,,7,13,2,2,1
Prosopis,Vascular plants,pollen,NISP,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pteris,Vascular plants,spore,NISP,,5,6,5,4,10,,,3,,3,,4,10,1,1,1,,1,3,,14,,7,2,3,1,,,,1,1,9,3,12
Rubiaceae,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Rubus,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
Santalaceae,Vascular plants,pollen,NISP,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
Sesbania,Vascular plants,pollen,NISP,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
Sida,Vascular plants,pollen,NISP,,4,,1,,,,3,1,,,2,2,,,,3,,1,2,,,2,2,4,1,1,4,,1,1,,1,,
Solanum,Vascular plants,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,
Taraxacum,Vascular plants,pollen,NISP,,2,,3,,1,,,,10,,,1,6,1,,1,4,,2,,,1,,,,,,,,,,,,
Tribulus,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,2,1,,,,,
Unknown,Unidentified palynomorphs,pollen/spore,NISP,,44,86,93,76,88,21,70,74,102,64,64,76,69,68,71,80,53,20,102,59,87,36,46,29,37,24,22,32,77,58,33,109,30,175
Urticaceae,Vascular plants,pollen,NISP,,6,,,,,,3,3,,,,,,,,,,1,,,,,,,,,,,,,,,,
Waltheria,Vascular plants,pollen,NISP,,,,,,,,,,,,3,,,,,,,,,1,,,,,1,,2,,,,,,,
Xylosma,Vascular plants,pollen,NISP,,,,,2,4,,,9,2,2,8,1,,,1,2,,,2,1,3,,,,,,,,,,,,,4
cf. Nothocestrum,Vascular plants,pollen,NISP,,,,3,,,,,,,,,15,,,3,6,,,1,,,,,,,,,,,,,,,
