         CCA1       CA1       CA2       CA3       CA4
108 -3.256965 -0.307979  1.226880 -3.330593 -1.593829
109 -2.848824  0.044790  1.105049 -2.861854 -1.713917
110 -3.331846 -0.387508  1.350069 -3.642063 -1.426520
111 -3.126375 -1.390625  1.403752 -5.327345  0.225002
112 -2.903251  0.099582  1.156993 -3.980094 -2.059439
113 -3.646022 -0.861787  1.355932 -4.919117 -0.884176
114 -2.975285 -0.279123  1.026196 -2.216709 -0.834855
115 -1.365131  0.378479  0.033841  1.726371 -0.175572
116  0.100642 -1.133928  0.029223  1.509146  0.192469
117  0.572419 -0.864266 -0.925486  0.647346  1.723778
118 -1.585417  0.229044  0.452333  0.916026 -0.027110
119 -1.831884  1.394171  0.714015  3.230275 -2.141074
120 -1.697329  1.481252  0.635841  3.079033 -2.262512
121 -1.542995  1.182070  0.433187  1.067854 -1.739628
122 -0.965233  1.169862 -0.054438  1.250055 -1.161627
123 -0.809929  0.984376 -0.236430  1.530084 -0.451889
124 -0.350427  1.075013 -0.376627  1.477143 -0.284034
125 -1.515975  1.432076  0.493325  2.374306 -2.144093
126 -0.381837  1.116458 -0.461290  1.459855 -0.345112
127 -1.511530  1.420470  0.529055  2.378482 -2.135457
128 -1.870272  1.142423  0.628517  0.826826 -1.633235
129 -0.947420  1.205218 -0.017463  0.973283 -1.123348
131 -1.872141  0.939342  0.409618  1.741830 -1.176935
132 -1.081039  1.255676  0.211140  0.272059 -1.371439
133 -1.087093  1.056802  0.025274  1.068910 -0.651181
134 -2.240794  1.246494  0.741336  2.493369 -1.363849
135 -2.219098  1.123467  0.675864  1.980197 -0.862364
136 -0.923238  1.114613 -0.081545  1.580272 -0.760321
137 -0.723518  1.112362 -0.169228  1.181997 -0.736304
138 -1.257565  1.219461  0.181955  1.226403 -1.400011
139 -1.324240  1.073380  0.342398 -1.092331 -1.378089
140 -1.302410  1.118605  0.358140 -1.166728 -1.446903
141 -0.608299  1.011961 -0.270621  0.874174 -0.526613
142 -1.551813  1.320654  0.480688  0.337057 -1.889913
143 -1.028303  0.946960  0.012253  1.157793 -0.446702
144 -1.050024  1.080928  0.091830  1.039316 -0.824899
145 -0.505216  0.927312 -0.390362  0.172531 -0.144501
146 -1.304448  1.144158  0.348113 -0.644172 -1.257686
147 -0.627364  0.893923  0.043363  0.203053 -0.405845
148 -1.164298  0.762315  0.262371  0.462459 -0.556965
149 -0.903529  0.705354  0.437109 -0.420266 -0.306199
150 -1.268541  1.023606  0.506538  0.417565 -0.828472
151 -1.860103  1.207170  0.878843 -2.009170 -1.896418
152 -1.881991  1.231632  0.844395 -2.024462 -1.943420
153 -2.062424  1.274518  1.153635 -3.344692 -2.876325
154 -1.763005  1.393734  0.928419 -2.050749 -2.266001
155 -1.557291  1.060159  0.438524  1.836955 -1.380212
156 -1.421333  0.866224  0.285490  0.687095 -0.798296
157 -1.375180  0.706974  0.469498  0.517992 -0.696420
158 -1.952496  0.822355  0.648304  0.917955 -1.271652
159 -0.453619  0.532040 -0.704723  0.408018  0.901999
160 -0.453804  0.591067 -0.640255  0.717669  0.634459
161 -0.181213  0.580903 -0.805369  0.208647  1.262871
162 -0.458373  0.492996 -0.491046  0.529941  0.576674
163 -1.611510  1.075586  0.444211  1.920515 -1.445206
164  0.031800  0.641648 -0.925248  0.427045  0.898080
165 -0.543379  0.964892 -0.391555  0.451754  0.175315
166 -0.948245  0.931229 -0.083633  1.052310 -0.512386
167 -0.475938  0.604417 -0.603186  0.599611  0.425066
