LabID,14C_Age,14C_StD_(yr),SampleDepth_(cm),Thickness
Wis- 993,245,55,21.5,7
Wis- 994,2055,65,141.5,5
Wis- 995,2430,65,166.5,5
Wis- 996,4105,65,265,4
Wis- 997,5245,65,336,4
Wis- 998,6920,75,397,4
Cams 78446,8590,50,474,4
Cams 78445,9740,40,535,4
Cams 78444,10110,140,550,6
Cams 78443,10730,50,584,4
Cams 78442,12580,130,635,4
