name,group,element,units,context,S13061,S13062,S13063,S13064,S13065,S13066,S13067,S13068,S13069,S13070,S13071,S13072,S13073,S13074,S13075,S13076,S13077,S13078,S13079,S13080,S13081,S13082,S13083,S13084,S13085,S13086,S13087,S13088,S13089,S13090,S13091,S13092,S13093,S13094,S13095,S13096,S13097,S13098,S13099,S13100,S13101,S13102,S13103,S13104,S13105,S13106,S13107,S13108,S13109,S13110,S13111,S13112,S13113,S13114,S13115,S13116,S13117,S13118,S13119,S13120,S13121,S13122,S13123,S13124,S13125,S13126,S13127,S13128,S13129,S13130,S13131,S13132,S13133,S13134,S13135
Rosaceae,UPHE,pollen,NISP,,1,6,5,1,4,2,1,,1,1,3,9,3,1,,,,,,,1,,3,1,2,2,3,2,6,2,2,1,4,4,8,1,2,1,5,,2,5,2,4,3,1,6,1,1,4,,1,1,3,1,1,1,2,2,,5,,9,4,11,,6,4,4,4,5,6,1,7,14
Salix,TRSH,pollen,NISP,,6,11,13,19,6,2,1,11,7,,,3,5,5,,3,4,,,2,5,1,1,3,3,9,5,18,20,14,7,14,33,26,26,6,11,6,14,3,5,5,5,4,4,5,9,9,,12,6,8,6,12,6,3,7,11,4,5,11,9,10,13,12,,2,6,11,6,5,5,2,13,7
Sample quantity,LABO,volume,ml,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Sarcobatus vermiculatus,TRSH,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saxifragaceae,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,1,,,,,1
Sparganium-type,AQVP,pollen,NISP,,13,15,15,5,,1,,1,2,,,,,,,3,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,
Thalictrum,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,5,1,7,1,2,1,,,3,,4,3,,,1,2,2,1,5,2,2,2,1,4,5,,5,2,6,,1,2,,,3,3,,5,4
Tsuga heterophylla,TRSH,pollen,NISP,,15,22,36,36,29,113,105,32,45,42,46,80,56,42,30,35,32,36,32,30,53,38,30,27,11,68,31,,3,5,16,25,6,10,1,1,2,4,2,,5,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,1,,1
Tsuga mertensiana,TRSH,pollen,NISP,,,,1,1,,1,,,,,,,,,,,,,,,1,1,,,,,,,1,,5,3,4,,15,31,32,27,44,29,37,15,3,14,15,13,17,10,12,12,8,12,6,3,14,12,11,7,6,3,7,7,2,2,4,2,7,6,11,4,26,9,31,6,15
Typha latifolia,AQVP,pollen,NISP,,1,4,,1,1,,3,1,2,,,4,1,,,,,,,,,1,,,,2,3,2,1,6,,2,1,,,,,2,,,,,2,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,1,,2,1,
Unknown,UNID,pollen/spore,NISP,,3,9,3,3,,1,2,1,,,,,1,,1,,,,,,1,,,,,,,1,,,,,2,,,,,,1,,1,,,1,2,2,2,,1,1,2,1,,1,1,1,2,,3,,5,7,,1,1,,2,1,4,7,1,2,1,1,4
Unknown (alete),UNID,spore,NISP,,12,2,1,12,28,1,5,2,41,15,5,19,29,14,,7,5,,4,2,2,2,4,5,3,1,,1,5,6,2,4,,,1,8,1,1,3,1,3,1,1,,3,2,3,,,1,5,,,,15,1,,3,,27,,10,6,26,3,,2,7,3,3,7,3,4,2,4
Unknown (monolete),UNID,spore,NISP,,,,,,2,,20,,3,6,6,19,3,5,,4,,,2,,5,,,,,3,,1,,,,6,,,,11,,1,,3,,,1,,3,,,,,,,,,,1,,,,,,,,,,,,,,,1,,4,1,1,
