"name","group","element","units","context","S53533","S53535","S53537","S53539","S53541","S53543","S53545","S53547","S53549","S53551","S53553","S53555","S53557","S53559","S53561","S53563","S53565","S53567","S53569","S53571","S53573","S53575","S53577","S53579","S53581","S53583","S53585","S53587","S53589","S53591","S53593","S53595","S53597","S53599","S53601","S53603","S53605","S53607","S53609","S53611","S53613","S53615","S53617","S53619","S53621","S53623","S53625","S53627","S53629","S53631","S53633","S53635","S53637","S53639","S53641","S53643","S53645","S53647","S53649","S53651","S53653","S53655","S53657","S53659","S53661","S53663","S53665","S53667","S53669","S53671","S53673","S53675","S53677","S53679","S53681","S53683","S53685","S53687","S53689","S53691","S53693","S53695","S53697","S53699","S53701","S53703","S53705","S53707","S53709","S53711","S53713","S53715","S53717","S53719","S53721","S53722","S53723","S53724","S53725","S53726","S53727","S53728","S53729","S53730","S53731","S53732","S53733","S53734","S53735","S53736","S53737","S53738","S53739","S53740","S53741","S53742","S53743","S53744","S53745","S53746","S53747","S53748","S53749","S53750","S53751","S53752","S53753","S53754","S53755","S53756","S53757","S53758","S53759","S53760","S53761","S53762","S53763","S53764","S53765","S53766","S53767","S53768","S53769","S53770","S53771","S53772","S53773","S53774","S53775","S53776","S53777","S53778","S53779","S53780","S53781","S53782","S53783","S53784","S53785","S53786","S53787","S53788","S53789","S53790","S53791","S53792","S53793","S53794","S53795","S53796","S53797","S53798","S53799","S53800","S53801","S53802","S53803","S53804","S53805","S53806","S53807","S53808","S53809","S53810","S53811","S53812","S53813","S53814","S53815","S53816"
Acer undiff.,Vascular plants,pollen,NISP,,,,,1,,,3,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,1,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
Alnus,Vascular plants,pollen,NISP,,1,2,,1,2,4,1,1,2,1,2,2,,,1,2,,,,,2,1,,,,,,1,1,1,,,,,,2,,,,,,3,,6,1,2,,3,,3,,1,,2,1,,1,1,,,2,1,3,3,,1,1,,4,,1,,,,,1,1,1,1,,,,3,,1,,1,,,1,3,6,4,,,2,,,,,1,,,,2,1,3,,1,1,,1,,2,1,3,,,,2,,1,,,,,1,2,2,2,1,,,,,2,2,2,,,1,1,,2,2,,,2,2,,1,,1,2,1,2,,,1,,,,,2,,1,,,,2,1,1,,1,4,1,2,1,,,,,2,,3,2,2,1,,
Amaranthaceae undiff.,Vascular plants,pollen,NISP,,23,15,23,17,16,19,42,26,7,11,13,12,16,11,11,8,6,12,2,20,23,35,13,36,55,37,24,27,24,44,18,51,13,27,29,,22,21,23,44,14,43,17,25,13,36,22,27,11,23,8,21,8,19,13,22,33,21,29,44,34,44,36,30,41,41,57,58,30,28,17,20,32,19,22,25,35,13,10,6,8,12,25,41,35,41,65,27,40,36,30,24,54,25,23,47,61,19,21,16,1,14,42,35,40,28,46,24,45,32,20,22,29,129,29,28,34,41,23,17,26,16,13,7,25,16,13,24,24,57,14,34,14,21,5,20,11,52,28,33,13,18,7,21,29,29,22,20,15,31,8,13,14,19,19,16,17,27,29,12,22,21,21,21,44,19,18,,10,20,39,19,15,22,42,13,22,15,30,32,7,24,26,11,13,11,15,17,17,43
Ambrosia-type,Vascular plants,pollen,NISP,,18,13,16,18,16,10,11,8,2,4,4,,1,3,4,3,1,6,7,5,5,1,3,4,3,6,3,5,2,8,5,2,1,2,2,8,2,3,2,4,2,16,4,14,7,31,7,22,6,26,10,26,6,17,18,50,71,49,75,38,23,39,28,32,70,55,72,100,110,98,116,88,128,51,63,66,77,31,32,19,35,26,137,120,46,113,111,82,178,96,18,77,167,73,78,143,208,91,76,97,85,44,140,74,105,65,74,59,93,84,83,83,145,350,73,123,115,149,63,78,64,49,22,25,34,39,19,65,85,423,83,43,30,30,16,43,20,35,20,18,60,59,20,34,67,95,50,54,87,40,13,22,20,28,33,30,41,47,26,53,45,63,49,114,134,41,26,40,36,77,101,44,49,67,145,157,116,75,132,61,40,48,79,22,15,13,16,11,10,32
Amorpha,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anacardiaceae undiff.,Vascular plants,pollen,NISP,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,1,,,,3,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apiaceae undiff.,Vascular plants,pollen,NISP,,,,1,,,,1,,,,,,,,,,1,,,1,1,,,,1,,,3,,1,,,,,,,,,,,1,,1,,1,1,,,,,1,,,1,,,,,,,,,,,1,,1,,,1,,,,1,,,,,,,,,1,,,1,1,2,,1,,2,,1,1,1,,,5,,,,,,,,,,1,,,5,2,6,1,2,2,,1,,,,1,,,1,,1,,,,,,1,,,,,,1,,6,1,,2,,,1,,1,,,,1,2,,,,1,,2,,1,1,,1,,,1,2,,,,3,1,,1,,,,3,,,,2,1,1,1,,2
Apocynum,Vascular plants,pollen,NISP,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,1,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
Araliaceae,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
