"name","group","element","units","context","S53533","S53535","S53537","S53539","S53541","S53543","S53545","S53547","S53549","S53551","S53553","S53555","S53557","S53559","S53561","S53563","S53565","S53567","S53569","S53571","S53573","S53575","S53577","S53579","S53581","S53583","S53585","S53587","S53589","S53591","S53593","S53595","S53597","S53599","S53601","S53603","S53605","S53607","S53609","S53611","S53613","S53615","S53617","S53619","S53621","S53623","S53625","S53627","S53629","S53631","S53633","S53635","S53637","S53639","S53641","S53643","S53645","S53647","S53649","S53651","S53653","S53655","S53657","S53659","S53661","S53663","S53665","S53667","S53669","S53671","S53673","S53675","S53677","S53679","S53681","S53683","S53685","S53687","S53689","S53691","S53693","S53695","S53697","S53699","S53701","S53703","S53705","S53707","S53709","S53711","S53713","S53715","S53717","S53719","S53721","S53722","S53723","S53724","S53725","S53726","S53727","S53728","S53729","S53730","S53731","S53732","S53733","S53734","S53735","S53736","S53737","S53738","S53739","S53740","S53741","S53742","S53743","S53744","S53745","S53746","S53747","S53748","S53749","S53750","S53751","S53752","S53753","S53754","S53755","S53756","S53757","S53758","S53759","S53760","S53761","S53762","S53763","S53764","S53765","S53766","S53767","S53768","S53769","S53770","S53771","S53772","S53773","S53774","S53775","S53776","S53777","S53778","S53779","S53780","S53781","S53782","S53783","S53784","S53785","S53786","S53787","S53788","S53789","S53790","S53791","S53792","S53793","S53794","S53795","S53796","S53797","S53798","S53799","S53800","S53801","S53802","S53803","S53804","S53805","S53806","S53807","S53808","S53809","S53810","S53811","S53812","S53813","S53814","S53815","S53816"
Celtis,Vascular plants,pollen,NISP,,,,,,2,,,,,,1,,,,1,,,,,,,1,,,1,,,1,1,,,2,,,,1,,,1,,,,,1,,1,1,,,1,,,,1,,,1,,1,,,,,,1,4,1,1,1,2,,,2,,5,7,4,1,4,1,8,8,6,1,,,2,1,2,,4,,2,3,,1,3,,,,,,,,,,,,,2,1,,1,3,,,,,,,,,,,,,,,,3,1,,,1,1,1,,2,,,1,1,1,,,2,,,,1,,,,1,,1,,,,1,1,3,,2,5,,1,2,,1,8,2,,2,4,,1,2,,2,,,1,1,1,,1,,,
Cephalanthus,Vascular plants,pollen,NISP,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratiola ericoides,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,,1,,2,,1,,1,,,,,,,,,,2,,,,1,,1,,,,,,,1,,,,1,,1,,2,,,,,,1,,1,,,,,,1,,1,,5,,2,,1,,,,,,,,,,1,,1,,4,,3,,3,,,2,,8,,,,,,,,1,,2,,3,,,,1,,1,,,,5,,1,,1,,6,,19,,11,,2,,7,,35,35,,42,,65,,8,,,,,5,,18,,11,,13,,5,,3,3,,2,,4,,2,,7,,4,,,18,
Chamaecrista fasciculata-type,Vascular plants,pollen,NISP,,1,,,,,1,,,,1,2,,,,,1,,,1,,1,,,,1,,,3,,,,1,2,,,,,,,,,1,,,1,1,,4,3,1,2,5,1,,2,2,2,,3,1,1,1,,,1,1,1,,,,,,,1,,,,,,,,,1,,,,,1,1,2,,,,1,1,,,,1,1,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,
Chamaecyparis-type,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Citrus,Vascular plants,pollen,NISP,,8,6,9,9,9,8,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cladium jamaicense,Vascular plants,pollen,NISP,,,,,,,,,,,,1,,,,1,2,2,2,,,5,,4,2,6,1,2,6,,2,2,,1,3,2,3,2,5,2,2,,4,2,5,7,4,6,12,5,12,4,6,2,1,1,3,,1,1,,7,,,3,9,1,3,3,3,,1,,,,,1,1,,,,5,5,,1,2,,1,,,,2,,,,2,,1,,1,2,,,2,,1,,,,1,,1,,1,,,1,,,,1,,1,,,,1,1,4,,,,,,,,,1,1,,1,,1,1,1,1,1,3,,,,,1,,,3,2,,1,,,1,,,,,,,,,2,,,,,,,,,1,,,,,2,,,,1,,
Cladium mariscoides,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,2,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Claytosmunda claytoniana,Vascular plants,spore,NISP,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clethra,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coccoloba,Vascular plants,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combretaceae/Melastomataceae undiff.,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,,,,1,,5,,1,,1,,,,1,,,,1,,,,1,,,,,,,1,,,,1,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,2,1,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Corylus,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,1,1,1,1,1,,,,,,,,,,1,,,,
Cupressaceae undiff.,Vascular plants,pollen,NISP,,6,17,2,2,3,15,7,3,4,1,5,1,,,3,2,5,7,2,4,9,3,5,9,7,1,,5,,2,,3,,1,,3,,2,,,,,,,1,3,,,,,,,,1,,4,2,,4,,2,1,2,,14,2,8,1,8,4,10,,32,14,81,14,56,33,57,1,43,22,109,1,8,,6,,19,17,27,14,53,19,60,52,259,18,28,4,10,3,2,1,8,1,5,20,5,,10,11,,329,,9,,7,3,4,3,10,,,3,4,5,7,3,1,8,6,3,8,,10,1,3,,2,2,5,3,10,,16,9,3,2,5,3,14,17,,23,,15,,9,,12,7,,7,,1,,10,,9,,6,,4,2,,4,,8,,9,,7,,2,,11,1,,3
Cyclachaena xanthiifolia-type,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperaceae undiff.,Vascular plants,pollen,NISP,,19,,33,23,27,7,24,20,5,8,10,13,4,19,14,10,7,8,5,5,7,3,11,14,9,6,6,24,8,12,12,10,5,7,9,2,6,5,4,11,3,25,13,21,11,23,13,13,6,10,11,14,8,14,17,8,6,1,7,8,12,3,7,24,21,9,12,21,11,7,4,6,4,9,4,7,6,7,7,4,16,8,3,24,6,18,13,25,8,16,9,14,13,15,14,14,22,26,11,15,3,6,7,7,8,4,14,11,4,17,11,9,32,58,11,16,24,17,17,3,11,11,7,8,5,7,6,15,22,17,15,3,3,8,11,7,9,16,3,7,11,19,9,13,10,13,32,7,16,8,1,16,21,32,8,32,31,21,8,9,26,23,34,12,14,6,9,22,16,13,15,10,4,12,38,18,12,18,12,15,9,10,9,6,3,7,10,16,13,7
Cyrilla racemiflora,Vascular plants,pollen,NISP,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Dalea,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
Diospyros-type,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodonaea,Vascular plants,pollen,NISP,,,,,,,,1,,,,,,,,,,,,1,1,,,,,1,,,,,,,1,1,,,,,,,,,1,,1,1,1,,1,,,,2,,1,3,,,1,,,,,,,1,,1,,,,,,,1,,1,,,,,,,3,,,,,,1,1,1,,1,,,,,,1,,,,,1,,,,,,1,1,,,1,1,2,,,,,2,,,,1,,1,,1,,,,,,,,,2,1,,,,,,,,1,,,,,,,,2,1,1,,,1,,2,,3,,,,,,,,,4,,1,1,,,,,,,,,1,,,,,
Drosera,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Dryopteris-type,Vascular plants,spore,NISP,,1,,2,,,,1,2,,,1,,,,3,1,2,1,1,1,2,,3,1,2,,,,,2,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,1
Equisetum,Vascular plants,spore,NISP,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,,1,,,,1,,1,,2,,,,1,,3,,1,,1,,2,,6,,2,,2,,4,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,2,,4,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ericaceae,Vascular plants,pollen,NISP,,,1,,2,,,,1,,2,5,3,1,,1,,,1,,4,1,2,4,2,4,,,2,,1,,6,,3,1,7,,5,2,1,,2,,4,,2,1,2,1,2,,,,3,,2,,,,,2,,4,,,,,,2,,,,1,,2,,1,1,,,,1,3,,1,1,3,2,11,5,4,,3,,2,,1,,1,,1,3,13,3,9,3,3,5,22,16,14,,6,8,5,11,1,6,2,11,1,8,2,11,5,12,4,14,2,,,2,1,1,1,15,5,7,1,8,4,12,12,15,,6,1,8,,6,1,14,7,10,49,13,39,6,42,23,11,5,9,5,,7,4,20,1,8,8,18,2,4,10,1,6,5,11,13,12,1,11,5,4,2,4,11,22,56
Eriocaulon,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,1,,,1,,,,,,,1,,,,,,,,,,,,,,3,,,1,1,,,,2,,,,1,,,,2,,,,1,,1,,,,,,,2,,,,,,,,,,,,,2,,,,,,
Eriogonum,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eugenia,Vascular plants,pollen,NISP,,1,2,7,1,3,3,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,2,,,,,,,,1,,,,,1,,,,,,,,,,,1,,
Euonymus,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbia,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae undiff.,Vascular plants,pollen,NISP,,,,,1,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Fagus,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,2,,,,2,,1,1,,1,3,,1,2,,,1,,,1,2,,,,1,,,,,,,,,,3,,1,,,,,1,,2,,,,3,,,,,,,,,,,,,,3,,,,,,1,1,1,,,,1,2,,,1,,,,,1,,,1,,,,,,,2,,,1,1,,1,,,,,,,,1,,,,1,,,,,,,,,,1,
Forestiera,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus,Vascular plants,pollen,NISP,,3,3,3,1,4,1,4,4,3,4,3,3,2,,1,1,,,,,2,4,4,2,2,3,3,5,1,,1,2,2,2,,,1,1,1,2,1,2,,2,,4,2,1,,,,,1,1,,2,2,,,,1,1,,3,,3,4,2,3,4,2,,4,3,3,,10,3,4,1,9,2,10,,3,1,11,3,6,7,1,2,6,4,,1,8,2,2,1,3,3,5,3,7,4,4,3,5,2,6,4,3,7,3,7,2,5,4,4,3,6,2,3,,1,1,1,1,11,4,2,1,5,3,1,2,6,,1,4,8,4,4,5,10,3,5,3,5,6,8,4,5,4,4,1,6,2,2,4,3,2,5,2,4,2,5,2,5,2,4,4,1,9,4,2,1,1,3,3,2,3,4,4,3,5,4,3,2
Galium,Vascular plants,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gomphrena-type,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,1,,,,2,1,2,1,1,,1,,2,,2,2,3,1,,,,1,,,,1,1,,,,,,,,,,,,1,2,,,,,,,,3,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,1
Gordonia,Vascular plants,pollen,NISP,,1,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Humulus-type,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrocotyle,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,2,,1,,1,,,,,,,,,,,,,,,
Ilex,Vascular plants,pollen,NISP,,3,4,1,,,2,3,1,,1,,1,,1,,,,,1,,,1,,,,,1,1,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,1,,,2,,,1,,,,1,3,1,1,3,2,2,,1,2,,2,,1,2,3,2,1,2,1,,1,,,,,,,4,4,1,2,13,1,3,1,2,1,2,,3,,,1,,,,,,1,1,1,1,,1,,1,1,,2,,1,4,2,,3,,,1,,4,3,3,5,2,1,2,1,4,2,,4,3,3,3,1,1,1,2,2,7,,,1,,,,,,,,,1,,,,,,1
Indeterminable,Unidentified palynomorphs,pollen/spore,NISP,,6,14,7,5,6,13,1,3,3,3,7,3,1,,7,9,3,4,1,4,4,3,14,15,8,5,5,2,2,12,7,4,3,2,,13,4,5,2,6,3,19,2,15,7,8,20,6,4,19,5,11,6,17,5,4,11,3,13,7,12,6,15,3,12,8,15,7,22,8,20,2,12,6,21,4,36,46,16,5,22,6,16,5,6,6,29,4,6,7,8,5,20,1,12,,14,2,16,2,8,,29,,12,1,10,5,9,12,7,22,15,,9,17,7,10,5,2,6,9,2,41,3,6,4,15,13,34,5,19,1,15,2,14,,4,,1,12,15,9,31,2,9,9,10,6,13,5,14,13,11,10,17,10,4,9,7,31,11,4,12,6,20,16,22,5,22,4,23,13,25,51,,20,7,13,8,11,1,6,4,1,3,7,5,5,11
Iridaceae,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isoëtes,Vascular plants,spore,NISP,,,1,,,,,2,1,3,4,8,6,9,3,18,9,22,30,18,10,27,6,9,4,7,,4,2,4,2,2,6,6,4,5,4,2,2,1,3,,,,,1,,,1,,2,,2,,2,1,33,44,11,7,10,,10,,1,26,4,2,,,1,,2,,2,14,26,167,1,2,1,2,9,451,1284,972,782,1060,704,1470,1011,1040,1202,1296,558,382,1368,1774,751,1376,594,,1204,1824,455,1566,248,473,1088,627,1127,1034,31,1,87,21,94,110,,2880,1876,727,,1286,349,379,570,961,24,78,157,465,418,664,205,799,825,911,1210,487,419,1213,154,219,135,290,74,124,1472,1073,531,773,52,3,6,,2,39,140,876,1,2,,,18,129,332,316,181,38,76,316,883,36,3,4,3,76,14,15,7,5,2,2,45,26,34,47,1065,329,553
Itea,Vascular plants,pollen,NISP,,,,,,2,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,
Iva frutescens-type,Vascular plants,pollen,NISP,,1,,1,,1,4,4,1,3,4,1,3,1,3,5,6,,2,2,2,1,,2,3,3,5,3,6,9,7,6,10,3,7,3,7,2,5,6,18,7,46,12,27,5,27,20,40,19,42,22,47,25,11,7,5,,3,,2,35,5,1,,5,7,3,4,3,6,6,,7,7,5,2,22,3,1,4,1,4,4,9,6,11,10,9,10,9,11,8,9,7,5,11,14,4,7,10,4,3,10,11,9,3,6,2,12,7,2,,18,30,7,14,12,19,9,5,7,10,6,,4,4,,14,27,42,14,6,,9,1,5,,11,37,6,17,16,7,12,9,15,21,10,8,10,7,5,2,4,10,7,6,7,8,10,11,7,15,24,18,14,8,8,10,10,11,12,16,26,26,26,14,6,12,7,3,4,8,1,3,1,,6,3,
Juglans nigra,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laguncularia,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Vascular plants,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Lechea,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,1,,1,,,,1,,,,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,1,,1,,1,,1,,1,,,,,,2,,,,1,,,,,,1,,2,,,1,,1,1,,,,,,,3,,,,,,,,2,,,,,,,,,,2,,,1,1,,,,,,,1,2,1,,,1,,1,3,2,2,,,,,,,,,,,1,,,1,,,,,,1,,1,,,,,2,1
Liliaceae,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,
Linum,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquidambar,Vascular plants,pollen,NISP,,2,2,1,1,1,,2,2,2,5,1,2,,2,2,,,,,2,1,2,4,8,,1,1,2,,,1,,,,,1,,,,3,,2,1,,1,,,,,,2,,,,1,,1,,2,2,,1,3,1,4,1,,2,1,1,4,1,5,2,4,3,,1,2,,1,1,4,,,,,,1,,1,,,,1,,1,,1,,,1,1,,1,2,1,1,2,3,,,,3,1,1,1,2,,1,1,1,1,,,2,,,,,1,2,1,1,2,1,4,,1,2,3,1,3,1,1,,2,4,3,3,3,7,5,2,4,1,6,1,2,2,5,4,2,2,1,5,2,2,2,2,1,5,1,1,3,1,,3,4,1,2,1,4,3,4,,1,,1,
