"name","group","element","units","context","S165274","S165275","S165276","S165277","S165278","S165279","S165280","S165281","S165282","S165283","S165284","S165285","S165286","S165287","S165288","S165289","S165290","S165291","S165292","S165293","S165294","S165295","S165296","S165297","S165298","S165299","S165300","S165301","S165302","S165303","S165304","S165305","S165306","S165307"
Pandanus,TRSH,pollen,NISP,,1,,8,2,6,3,2,2,10,,2,,6,1,1,1,16,,,,7,1,,3,,,,,1,,,,,
Phyllanthus,UPHE,pollen,NISP,,,,,,,,,,,,2,,,1,,,,1,,1,,,,,,,,,,,,,,
Platydesma,TRSH,pollen,NISP,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,1,3,3,6,6,9,3,4,8,1,5,1,4,2,1,1,24,20,7,33,11,30,13,22,15,23,23,15,10,20,57,6,1,5
Polypodium pellucidum,VACR,spore,NISP,,,6,5,2,,,3,2,,,6,4,1,3,3,7,5,6,5,3,10,3,5,,2,,3,4,3,1,2,2,5,9
Polyscias,TRSH,pollen,NISP,,4,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,
Pritchardia,PALM,pollen,NISP,,,,,,,,,,,,,3,,2,3,2,3,2,1,3,,,,3,3,1,,3,,7,13,2,2,1
Prosopis,TRSH,pollen,NISP,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pteris,VACR,spore,NISP,,5,6,5,4,10,,,3,,3,,4,10,1,1,1,,1,3,,14,,7,2,3,1,,,,1,1,9,3,12
Rubiaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Rubus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
Santalaceae,TRSH,pollen,NISP,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
Sesbania,UPHE,pollen,NISP,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
Sida,UPHE,pollen,NISP,,4,,1,,,,3,1,,,2,2,,,,3,,1,2,,,2,2,4,1,1,4,,1,1,,1,,
Solanum,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,
Taraxacum,UPHE,pollen,NISP,,2,,3,,1,,,,10,,,1,6,1,,1,4,,2,,,1,,,,,,,,,,,,
Tribulus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,2,1,,,,,
Unknown,UNID,pollen/spore,NISP,,44,86,93,76,88,21,70,74,102,64,64,76,69,68,71,80,53,20,102,59,87,36,46,29,37,24,22,32,77,58,33,109,30,175
Urticaceae,UPHE,pollen,NISP,,6,,,,,,3,3,,,,,,,,,,1,,,,,,,,,,,,,,,,
Waltheria,TRSH,pollen,NISP,,,,,,,,,,,,3,,,,,,,,,1,,,,,1,,2,,,,,,,
Xylosma,TRSH,pollen,NISP,,,,,2,4,,,9,2,2,8,1,,,1,2,,,2,1,3,,,,,,,,,,,,,4
cf. Nothocestrum,TRSH,pollen,NISP,,,,3,,,,,,,,,15,,,3,6,,,1,,,,,,,,,,,,,,,
